"","id","title","artist","mood","mood.cod","tempo","tempo.cod","genre","genre.cod","artist_type","artist_type.cod","durationSeg","durationSeg.cod","chart_date","agnioChar_date.numero","anioNacimiento","anioNacimiento.numero","age","age.cod","top"
"389",388,"Just Give Me A Reason","P!NK featuring NATE RUESS","Gritty",3,"Medium Tempo",1,"Pop",3,"Mixed",1,223,3,20130427,2013,"1979",1979,34,3,"1"
"390",389,"Heroes (We Could Be)","ALESSO featuring TOVE LO","Empowering",6,"Medium Tempo",1,"Pop",3,"Mixed",1,274,5,20141018,2014,"0",1982,32,3,"0"
"391",390,"Sippin' On Fire","FLORIDA GEORGIA LINE","Upbeat",5,"Fast Tempo",2,"Traditional",2,"Male",3,250,4,20141025,2014,"1987",1987,27,2,"0"
"392",391,"Move That Doh","FUTURE featuring PHARRELL, PUSHA T & CASINO","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,212,3,20140329,2014,"1981",1981,33,3,"0"
"393",392,"Magic","COLDPLAY","Sensual",2,"Slow Tempo",0,"Alternative & Punk",1,"Male",3,163,1,20140322,2014,"1979",1979,35,3,"0"
"394",393,"Beg For It","IGGY AZALEA featuring MO","Cool",5,"Medium Tempo",1,"Pop",3,"Female",2,173,1,20141108,2014,"0",1982,32,3,"0"
"395",394,"Tonight Looks Good On You","JASON ALDEAN","Yearning",4,"Medium Tempo",1,"Traditional",2,"Male",3,215,3,20141011,2014,"1977",1977,37,4,"0"
"396",395,"Holy Grail","JAY Z featuring JUSTIN TIMBERLAKE","Energizing",6,"Fast Tempo",2,"Urban",3,"Male",3,221,3,20140104,2014,"1981",1981,33,3,"0"
"397",396,"Whatever You Like","T.I.","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,115,0,20080906,2008,"0",1982,26,1,"1"
"398",397,"Trap Queen","FETTY WAP","Energizing",6,"Medium Tempo",1,"Urban",3,"Male",3,232,3,20150207,2015,"0",1982,33,3,"0"
"399",398,"Boom Clap","CHARLI XCX","Defiant",3,"Medium Tempo",1,"Alternative & Punk",1,"Female",2,298,5,20140621,2014,"1992",1992,22,1,"0"
"400",399,"Wrecking Ball","MILEY CYRUS","Empowering",6,"Medium Tempo",1,"Pop",3,"Female",2,326,6,20140104,2014,"1992",1992,22,1,"0"
"401",400,"Bed Of Lies","NICKI MINAJ featuring SKYLAR GREY","Yearning",4,"Medium Tempo",1,"Urban",3,"Female",2,216,3,20141206,2014,"1982",1982,32,3,"0"
"402",401,"Crack A Bottle","EMINEM featuring DR. DRE & 50 CENT","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,105,0,20090221,2009,"1979",1979,30,2,"1"
"403",402,"Good Girls","5 SECONDS OF SUMMER","Melancholy",4,"Slow Tempo",0,"Pop",3,"Male",3,274,5,20140614,2014,"1996",1996,18,NA,"0"
"404",403,"She Looks So Perfect","5 SECONDS OF SUMMER","Peaceful",1,"Slow Tempo",0,"Pop",3,"Male",3,279,5,20140419,2014,"1996",1996,18,NA,"0"
"405",404,"Feelin' It","SCOTTY McCREERY","Rowdy",4,"Medium Tempo",1,"Urban",3,"Male",3,194,2,20141011,2014,"1993",1993,21,NA,"0"
"406",405,"Compass","LADY ANTEBELLUM","Urgent",3,"Medium Tempo",1,"Traditional",2,"Mixed",1,278,5,20140104,2014,"1986",1986,28,2,"0"
"407",406,"Later On","THE SWON BROTHERS","Empowering",6,"Medium Tempo",1,"Traditional",2,"Male",3,224,3,20140830,2014,"0",1982,32,3,"0"
"408",407,"Or Nah","TY DOLLA $IGN featuring WIZ KHALIFA & DJ MUSTARD","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,253,4,20140329,2014,"0",1982,32,3,"0"
"409",408,"Bartender","LADY ANTEBELLUM","Yearning",4,"Medium Tempo",1,"Traditional",2,"Mixed",1,270,4,20140607,2014,"1986",1986,28,2,"0"
"410",409,"You & I (Nobody In The World)","JOHN LEGEND","Melancholy",4,"Slow Tempo",0,"Urban",3,"Male",3,251,4,20140726,2014,"1978",1978,36,3,"0"
"411",410,"TKO","JUSTIN TIMBERLAKE","Defiant",3,"Medium Tempo",1,"Pop",3,"Male",3,44,0,20140104,2014,"1981",1981,33,3,"0"
"412",411,"Shades Of Cool","LANA DEL REY","Sophisticated",4,"Slow Tempo",0,"Electronica",1,"Female",2,209,2,20140614,2014,"1985",1985,29,2,"0"
"413",412,"Sail","AWOLNATION","Cool",5,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,192,2,20140104,2014,"1978",1978,36,3,"0"
"414",413,"Til It's Gone","KENNY CHESNEY","Cool",5,"Medium Tempo",1,"Urban",3,"Mixed",1,280,5,20141115,2014,"1968",1968,46,5,"0"
"415",414,"Shotgun Rider","TIM McGRAW","Gritty",3,"Medium Tempo",1,"Traditional",2,"Mixed",1,226,3,20141018,2014,"1967",1967,47,6,"0"
"416",415,"Legend","DRAKE","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,243,4,20150228,2015,"1986",1986,29,2,"0"
"417",416,"Drunk On A Plane","DIERKS BENTLEY","Upbeat",5,"Medium Tempo",1,"Traditional",2,"Male",3,184,2,20140531,2014,"1975",1975,39,4,"0"
"418",417,"Rewind","RASCAL FLATTS","Empowering",6,"Medium Tempo",1,"Traditional",2,"Male",3,191,2,20140201,2014,"0",1982,32,3,"0"
"419",418,"Midnight","COLDPLAY","Sensual",2,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,212,3,20140503,2014,"1979",1979,35,3,"0"
"420",419,"Kiss Kiss","CHRIS BROWN featuring T-PAIN","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,272,5,20071110,2007,"1989",1989,18,NA,"1"
"421",420,"Beautiful Girls","SEAN KINGSTON","Cool",5,"Medium Tempo",1,"Pop",3,"Male",3,209,2,20070811,2007,"1990",1990,17,NA,"1"
"422",421,"For The First Time In Forever","KRISTEN BELL & IDINA MENZEL","Lively",5,"Medium Tempo",1,"Soundtrack",0,"Female",2,239,3,20140111,2014,"0",1982,32,3,"0"
"423",422,"Say You Do","DIERKS BENTLEY","Yearning",4,"Medium Tempo",1,"Traditional",2,"Male",3,308,6,20150131,2015,"1975",1975,40,4,"0"
"424",423,"Hey Brother","AVICII","Brooding",4,"Medium Tempo",1,"Electronica",1,"Male",3,198,2,20140104,2014,"1989",1989,25,1,"0"
"425",424,"Stronger","KANYE WEST","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,166,1,20070929,2007,"1977",1977,30,2,"1"
"426",425,"We R Who We R","KE$HA","Urgent",3,"Medium Tempo",1,"Pop",3,"Female",2,151,1,20101113,2010,"1987",1987,23,1,"1"
"427",426,"El Perdedor","ENRIQUE IGLESIAS featuring MARCO ANTONIO SOLIS","Sophisticated",4,"Slow Tempo",0,"Other",0,"Male",3,230,3,20140208,2014,"1979",1979,35,3,"0"
"428",427,"Wild Wild Love","PITBULL featuring G.R.L.","Excited",5,"Medium Tempo",1,"Pop",3,"Mixed",1,153,1,20140315,2014,"1970",1970,44,5,"0"
"429",428,"TiK ToK","KE$HA","Energizing",6,"Medium Tempo",1,"Pop",3,"Female",2,107,0,20100102,2010,"1987",1987,23,1,"1"
"430",429,"Angel In Blue Jeans","TRAIN","Brooding",4,"Medium Tempo",1,"Rock",1,"Male",3,273,5,20140927,2014,"0",1982,32,3,"0"
"431",430,"Live Your Life","T.I. featuring RIHANNA","Rowdy",4,"Medium Tempo",1,"Urban",3,"Mixed",1,237,3,20081018,2008,"1981",1981,27,2,"1"
"432",431,"Bumpin' The Night","FLORIDA GEORGIA LINE","Upbeat",5,"Fast Tempo",2,"Traditional",2,"Male",3,19,0,20141018,2014,"1987",1987,27,2,"0"
"433",432,"m.A.A.d City","KENDRICK LAMAR featuring MC EIHT","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,0,0,20140215,2014,"0",1982,32,3,"0"
"434",433,"One Last Time","ARIANA GRANDE","Excited",5,"Medium Tempo",1,"Pop",3,"Female",2,306,6,20150228,2015,"1993",1993,22,1,"0"
"435",434,"CoCo","O.T. GENASIS","Sensual",2,"Medium Tempo",1,"Jazz",0,"Male",3,329,6,20141206,2014,"0",1982,32,3,"0"
"436",435,"Shake It Off","TAYLOR SWIFT","Excited",5,"Medium Tempo",1,"Pop",3,"Female",2,286,5,20140906,2014,"1989",1989,25,1,"1"
"437",436,"Firework","KATY PERRY","Empowering",6,"Medium Tempo",1,"Pop",3,"Female",2,252,4,20101218,2010,"1984",1984,26,1,"1"
"438",437,"Give Me Everything","PITBULL featuring NE-YO, AFROJACK & NAYER","Energizing",6,"Fast Tempo",2,"Urban",3,"Mixed",1,244,4,20110709,2011,"1970",1970,41,4,"1"
"439",438,"They Don't Know","RICO LOVE","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,271,5,20140208,2014,"1982",1982,32,3,"0"
"440",439,"Summer","CALVIN HARRIS","Defiant",3,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,343,6,20140405,2014,"1984",1984,30,2,"0"
"441",440,"HeadBand","B.O.B featuring 2 CHAINZ","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,239,3,20140104,2014,"0",1982,32,3,"0"
"442",441,"Foreign","TREY SONGZ","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,202,2,20140719,2014,"1984",1984,30,2,"0"
"443",442,"I Got A Car","GEORGE STRAIT","Empowering",6,"Medium Tempo",1,"Traditional",2,"Male",3,191,2,20140614,2014,"1952",1952,62,9,"0"
"444",443,"Trumpets","JASON DERULO","Lively",5,"Fast Tempo",2,"Pop",3,"Male",3,190,2,20140614,2014,"0",1982,32,3,"0"
"445",444,"Mary, Did You Know?","PENTATONIX","Melancholy",4,"Medium Tempo",1,"Pop",3,"Mixed",1,0,0,20141206,2014,"1992",1992,22,1,"0"
"446",445,"Poker Face","LADY GAGA","Energizing",6,"Medium Tempo",1,"Pop",3,"Female",2,231,3,20090411,2009,"1986",1986,23,1,"1"
"447",446,"Thrift Shop","MACKLEMORE & RYAN LEWIS featuring WANZ","Cool",5,"Slow Tempo",0,"Urban",3,"Male",3,229,3,20130202,2013,"1983",1983,30,2,"1"
"448",447,"Feelin' Myself","WILL.I.AM featuring MILEY CYRUS, FRENCH MONTANA, WIZ KHALIFA","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,190,2,20140426,2014,"1990",1990,24,1,"0"
"449",448,"Disturbia","RIHANNA","Urgent",3,"Medium Tempo",1,"Urban",3,"Female",2,235,3,20080823,2008,"1988",1988,20,NA,"1"
"450",449,"Ridin'","CHAMILLIONAIRE featuring KRAYZIE BONE","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,187,2,20060603,2006,"1979",1979,27,2,"1"
"451",450,"Break Free","ARIANA GRANDE featuring ZEDD","Excited",5,"Medium Tempo",1,"Pop",3,"Mixed",1,249,4,20140719,2014,"1992",1992,22,1,"0"
