"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"176","MICH","MICHOACÁN ",15.2,79.5333333333333,3.96666666666667,2.83333333333333,14.7333333333333,133.133333333333,262.233333333333,190.066666666667,103.533333333333,24.0666666666667,12.2333333333333,2.1,843.633333333333,"2015"
"177","MOR","MORELOS ",10.0333333333333,40.3333333333333,1.86666666666667,8.03333333333333,35.9,177.433333333333,250.866666666667,262.9,171.433333333333,37.6666666666667,8.26666666666667,0.233333333333333,1004.96666666667,"2015"
"178","NAY","NAYARIT ",6.93333333333333,51.5,0.1,0.1,1.06666666666667,117.766666666667,371.9,423.1,279.266666666667,25.4666666666667,0.933333333333333,1.56666666666667,1279.7,"2015"
"179","NL","NUEVO LEÓN ",19.2666666666667,35.8333333333333,16.8,63.3666666666667,37.2,118.033333333333,152.333333333333,52.9,154.8,35.3,26.7,8.93333333333334,721.466666666667,"2015"
"180","OAX","OAXACA ",35.8,18.8333333333333,14.7666666666667,35.4333333333333,37.5333333333333,279.533333333333,321.466666666667,429.066666666667,288.833333333333,58.9,29,13.7333333333333,1562.9,"2015"
"181","PUE","PUEBLA ",40.1,42,23.7666666666667,45.4333333333333,56.3333333333333,191.333333333333,306.2,291.2,214.4,70.5333333333333,48.3333333333333,15.5666666666667,1345.2,"2015"
"182","QRO","QUERÉTARO ",15.4333333333333,64.6,6.43333333333333,10.2333333333333,12.9666666666667,109.5,134.9,89.2333333333333,93.9333333333333,11.4333333333333,10.2333333333333,0.866666666666667,559.766666666667,"2015"
"183","QROO","QUINTANA ROO ",57.2333333333333,61.6,45.6,107.4,135.133333333333,204.7,193.433333333333,148.633333333333,149.533333333333,208.466666666667,89.4666666666667,38.2,1439.4,"2015"
"184","SLP","SAN LUIS POTOSÍ ",29.5333333333333,47.2666666666667,12,54.2666666666667,47.8666666666667,168.4,364.266666666667,122.266666666667,174.366666666667,33.2,26.9,5.23333333333333,1085.6,"2015"
"185","SIN","SINALOA ",5.53333333333333,17.5666666666667,0.666666666666667,0.466666666666667,0.3,21.4666666666667,195.433333333333,217.8,120.9,18.9,15.3333333333333,15.2666666666667,629.633333333333,"2015"
"186","SON","SONORA ",21.1333333333333,13.8333333333333,3.06666666666667,2.76666666666667,0.433333333333333,10.7666666666667,123.466666666667,113.133333333333,63.5666666666667,6.13333333333333,21.1333333333333,18.9666666666667,398.4,"2015"
"187","TAB","TABASCO ",179.533333333333,107.5,59.1,38.4333333333333,106.6,248.266666666667,320.133333333333,430.8,430.133333333333,232.066666666667,129.533333333333,93.9666666666667,2376.03333333333,"2015"
"188","TAMPS","TAMAULIPAS ",26.8333333333333,50.7,10.8666666666667,54.5333333333333,47.6,163.266666666667,173.333333333333,59.9666666666667,138.666666666667,25.6666666666667,21.0333333333333,8.13333333333333,780.6,"2015"
"189","TLAX","TLAXCALA ",16,32.7333333333333,12.6333333333333,37.6333333333333,43.1,138.9,202.333333333333,163.733333333333,107.733333333333,34.9666666666667,8.86666666666667,1.86666666666667,800.5,"2015"
"190","VER","VERACRUZ ",81.4,41.7666666666667,22.4666666666667,54.4666666666667,50.1666666666667,188.866666666667,337.333333333333,349.8,306.566666666667,133.566666666667,79.7,34.0666666666667,1680.16666666667,"2015"
"191","YUC","YUCATÁN ",46.7333333333333,21.4333333333333,14.2333333333333,57,59.2333333333333,190.833333333333,167.733333333333,153.666666666667,171.233333333333,80.3666666666667,23.5666666666667,11.5,997.533333333333,"2015"
"192","ZAC","ZACATECAS ",10.1333333333333,41.3333333333333,0.533333333333333,1.16666666666667,7.53333333333333,34.4333333333333,120.033333333333,90.0666666666667,96.8,12,2.13333333333333,1.93333333333333,418.1,"2015"
"193","AGS","AGUASCALIENTES ",17.3,43.775,0.5125,0.825,5.275,55.9125,111.9125,79.7375,78.2,14.175,5.5375,5.4125,421.266666666667,"2016"
"194","BC","BAJA CALIFORNIA ",24.9125,47.425,32.1,16.225,2.55,0.025,4.375,3.7875,6.5125,9.25,20.55,34.6375,200.061904761905,"2016"
"195","BCS","BAJA CALIFORNIA SUR ",3.25,8.2375,6.35,0.175,0.2,0.1,4.1625,38.7125,60.325,23.4625,16.6375,6.25,168.752380952381,"2016"
"196","CAMP","CAMPECHE ",42.5,14.2,17.2875,25.925,97.1875,293.35,194.275,207.1125,202.95,144.6,50.85,31.9125,1332.57142857143,"2016"
"197","COAH","COAHUILA ",15.375,13.225,12.5125,28.475,36.6875,35.8625,72.9,23.5875,61.6,14.475,12.2375,7.05,329.719047619048,"2016"
"198","COL","COLIMA ",17.4,80.975,0.0125,0.05,11.475,152.7875,270.725,306.325,315.8,147.8,14.875,6.4,1344.42380952381,"2016"
"199","CHIS","CHIAPAS ",44.625,32.8,46.275,56.4,184.225,353.7875,306.9875,474.925,410.9375,208.0625,77.625,44.575,2228.18571428571,"2016"
"200","CHIH","CHIHUAHUA ",12.2,11.45,6.1,5.4125,3.8625,20.8625,123.5625,84.8125,75.5,16.75,19.5125,11.875,390.633333333333,"2016"
"201","CDMX","DISTRITO FEDERAL ",10.275,22.925,10.9625,20.725,24.7,101,179.7375,134.825,91.3875,33.5125,11.3875,0.325,635.809523809524,"2016"
"202","DGO","DURANGO ",6.3875,14.5,2.325,2.2,5.0125,27.725,137.4125,77.2,102.275,12.6,12.9,4.6125,405.409523809524,"2016"
"203","GTO","GUANAJUATO ",16.4625,55.4375,3.575,4.525,10.425,84.3625,161.6375,106.975,96.3375,19.2625,5.125,1.9625,563.62380952381,"2016"
"204","GRO","GUERRERO ",10.3,30.6625,1.25,4.65,26.9625,210.4375,240.5625,327.625,229.2375,80.9875,9.6625,0.65,1165.46666666667,"2016"
"205","HGO","HIDALGO ",27.675,37.0125,10.925,35.4625,25.625,117.1375,178.2125,104.7625,101.3,27.25,21.6,4.625,681.042857142857,"2016"
"206","JAL","JALISCO ",14.825,53.5875,0.55,1.0875,7.55,109,225.575,181.5125,126.5,44.4875,7.9,5.425,783.823809523809,"2016"
"207","MEX","ESTADO DE MÉXICO ",11.3375,41.275,7.1125,15.1,24.3875,121.375,207.1125,142.7,100.3375,39.75,12.25,0.7625,727.071428571429,"2016"
"208","MICH","MICHOACÁN ",13.2625,63.5,4.1875,2.9375,14.7,125.2125,238.6375,186.9875,122.8625,36.675,13.2,2.15,821.552380952381,"2016"
"209","MOR","MORELOS ",8.2125,31.3625,3.5125,7.175,45.3625,210,265.4,272.575,227.9875,71.45,10.4125,0.175,1174.80476190476,"2016"
"210","NAY","NAYARIT ",12.925,46.4,0.0875,0.175,1.9875,100.1125,349.6625,406.775,278.225,46.6125,6.9,5.675,1252.04285714286,"2016"
"211","NL","NUEVO LEÓN ",18.8875,27.6625,19.275,53.8875,44.7875,107.1,139.5625,45.4,149.725,30.3875,23.8375,8.6375,661.719047619048,"2016"
"212","OAX","OAXACA ",32.4,16.8375,12.625,30.875,48.2,247.7,280.3875,380.0375,274.8125,78.6625,34.175,12.35,1432.78571428571,"2016"
"213","PUE","PUEBLA ",34.1625,34.2375,20.45,40.2375,57.275,192.8875,271.7375,267.1,219.275,82.225,43.5875,13.8375,1267.31428571429,"2016"
"214","QRO","QUERÉTARO ",15.475,50.3,7.8125,10.1625,15.5125,103.425,118.75,81.4,87.4875,20.0125,9.7125,2.0875,516.733333333333,"2016"
